Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,Class
0.756878843,47102,242.7405604,0.790995795,0.982506051,0.81194676,0.807439002,BARBUNYA
0.77339676,21932,165.8448692,0.745282042,0.984953493,0.870766423,0.795330424,DERMASON
0.729969108,22107,166.8971585,0.747165301,0.989596056,0.93516494,0.826157484,DERMASON
0.72258815,49720,250.4010411,0.777225379,0.9904465,0.914429543,0.830812974,CALI
0.469924157,31474,199.1773023,0.781313473,0.989959967,0.952623101,0.939218858,SEKER
0.831240405,34023,206.5827753,0.808383378,0.9851571,0.852376909,0.744250942,HOROZ
0.848828915,33354,204.9988888,0.635476232,0.989566469,0.821636048,0.724325525,HOROZ
0.75676727,22426,167.6279318,0.683801202,0.984080977,0.879543694,0.805776172,DERMASON
0.742084098,34040,206.5057192,0.799451008,0.98393067,0.900955615,0.81696316,SIRA
0.852313703,37393,216.4577141,0.711352961,0.984114674,0.802164976,0.72003693,HOROZ
0.507365875,31423,199.0142269,0.761046142,0.989943672,0.952581757,0.927163162,SEKER
0.762609219,34165,206.6505609,0.72522055,0.981706425,0.865800929,0.802560288,SIRA
0.763205878,129274,403.8872417,0.782247133,0.991057753,0.870273946,0.801323883,BOMBAY
0.402841974,32026,200.8451524,0.773184303,0.989258727,0.951893863,0.956197485,SEKER
0.738655623,49543,248.8530188,0.776865576,0.98173304,0.798915933,0.819655033,BARBUNYA
0.745403341,47681,244.6345812,0.775780683,0.9857805,0.875650377,0.814930403,BARBUNYA
0.736874947,48450,246.3590522,0.814754042,0.983859649,0.836690159,0.820903636,BARBUNYA
0.498615976,30724,195.4670618,0.782681273,0.976695743,0.903936374,0.928328835,SEKER
0.705037806,47156,243.3979515,0.77828516,0.986703707,0.880218833,0.840438612,BARBUNYA
0.787663356,34420,208.1576685,0.740738322,0.988698431,0.893556882,0.783810022,SIRA
0.732938729,134325,411.3387045,0.789361449,0.989309511,0.885187446,0.823259465,BOMBAY
0.767494559,135500,413.0730902,0.76070569,0.98901845,0.876895924,0.79780047,BOMBAY
0.768786946,48758,247.6400264,0.806905564,0.987837893,0.889914711,0.798784661,BARBUNYA
0.720363573,52139,256.4252519,0.786066547,0.990486968,0.886661697,0.832561383,CALI
0.806059118,56664,266.8753897,0.73155995,0.987187632,0.848980993,0.768481039,CALI
0.857688897,36592,214.5196888,0.761980056,0.987729558,0.83618548,0.715327161,HOROZ
0.810531519,57032,267.9181826,0.682650392,0.988497686,0.834364582,0.763969406,CALI
0.651285139,43087,231.2819486,0.770975556,0.975050479,0.80511859,0.867197618,BARBUNYA
0.746417718,22532,168.1436412,0.725274366,0.985487307,0.875843707,0.812655468,DERMASON
0.653199406,48828,247.0609313,0.760107817,0.981813713,0.824570213,0.869462035,BARBUNYA
0.750920218,42005,229.8350762,0.708433653,0.987691941,0.903685555,0.811728551,BARBUNYA
0.616011296,21462,163.9104256,0.746356819,0.983179573,0.930929662,0.88417697,DERMASON
0.700830189,128220,401.3335547,0.771312725,0.986608953,0.902808585,0.843540956,BOMBAY
0.765824168,35181,210.2452313,0.815527367,0.986811063,0.889912971,0.80088478,SIRA
0.56099452,31604,199.8664991,0.769196823,0.99272244,0.973459862,0.909040279,SEKER
0.805825541,42483,229.8323062,0.68917572,0.976555328,0.783155548,0.76854952,BARBUNYA
0.683293252,21191,163.29171,0.742360865,0.988249729,0.934453442,0.854141008,DERMASON
0.553642225,31120,198.1390121,0.783682806,0.990809769,0.97027823,0.91212543,SEKER
0.813672998,36979,215.4524711,0.679223489,0.985910922,0.857109025,0.759440463,HOROZ
0.775853025,35860,211.8680253,0.684656167,0.983128834,0.860158683,0.790158828,HOROZ
0.795023273,33812,206.4101297,0.827284415,0.989648645,0.88337049,0.777527201,SIRA
0.783169393,57509,269.0042682,0.806453444,0.988262707,0.862299217,0.787551637,CALI
0.807779129,56288,266.0870245,0.759495746,0.987919272,0.827912767,0.763630092,CALI
0.778937554,33583,205.6190466,0.752663312,0.988774082,0.901298102,0.790569355,SIRA
0.774593661,46601,241.0958418,0.772431179,0.979657089,0.810869331,0.794464844,BARBUNYA
0.825970469,34420,207.9220419,0.799481987,0.98646136,0.830549278,0.7496239,HOROZ
0.767021759,47446,244.0379201,0.793909974,0.98583653,0.845613391,0.798282033,BARBUNYA
0.772624311,137618,415.2113366,0.787849695,0.983904722,0.890965798,0.793515586,BOMBAY
0.698963474,22424,167.9655972,0.743656867,0.98813771,0.946331753,0.845003102,DERMASON
0.676036664,135151,412.6845302,0.744567154,0.989707808,0.895903257,0.857507084,BOMBAY
0.690678219,32009,200.8229633,0.740935673,0.989565435,0.92092896,0.848239622,SEKER
0.733590829,138093,418.1980839,0.798073348,0.9946775,0.926881995,0.82324744,BOMBAY
0.702474661,21820,165.721987,0.81245998,0.988542621,0.934894907,0.843208918,DERMASON
0.660951387,54907,263.0430698,0.74044855,0.989728086,0.907244614,0.865706234,CALI
0.832401765,56205,265.9338588,0.769137033,0.98823948,0.817192715,0.74346187,CALI
0.729431915,47996,244.9986364,0.717986598,0.982227686,0.803681099,0.825338415,BARBUNYA
0.614702534,21877,166.0903609,0.810913991,0.990355168,0.964449616,0.887383514,DERMASON
0.701123073,20772,161.4173908,0.747406866,0.985172347,0.921004226,0.844015537,DERMASON
0.691669153,21587,164.7356296,0.76208524,0.9873535,0.928065363,0.849323486,DERMASON
0.52758671,31599,199.7422367,0.774277242,0.991645305,0.976510834,0.921362386,SEKER
0.411785251,29172,191.2727505,0.783968133,0.984985603,0.887033637,0.953860842,SEKER
0.709234078,131860,406.9524144,0.751536933,0.986424996,0.88082047,0.836135618,BOMBAY
0.709734019,136192,414.9337269,0.772423484,0.992877702,0.9031499,0.838076565,BOMBAY
0.77569004,49026,248.1741657,0.806539282,0.986680537,0.892789726,0.791446362,CALI
0.510946829,31558,199.3210815,0.762984155,0.988750871,0.957948542,0.926782809,SEKER
0.719791885,21762,165.3720417,0.736692276,0.986995681,0.912320593,0.832564076,DERMASON
0.86664487,34936,208.7714925,0.604602695,0.979848866,0.776447789,0.702997863,HOROZ
0.799338516,35404,210.955608,0.692173638,0.987233081,0.876311115,0.774207851,HOROZ
0.684490151,50168,250.2001108,0.775978535,0.980027109,0.84253974,0.851670933,BARBUNYA
0.798033715,58127,269.437004,0.791572956,0.980903883,0.877609255,0.770233948,CALI
0.657357888,139491,419.3473578,0.793950264,0.990128395,0.926427334,0.866926408,BOMBAY
0.744255376,34724,208.7897879,0.724889905,0.986003917,0.880955642,0.816129544,SIRA
