distance,cab_type,time_stamp,destination,source,price,surge_multiplier,id,product_id,name
2.94,Uber,1.54486E+12,Fenway,North Station,9,1,d25c46f2-b8a3-454d-97d1-4e2c8e1dff68,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool
1.76,Lyft,1.5434E+12,South Station,North Station,5,1,0c26c153-a58d-419d-b557-37cfad67585c,lyft_line,Shared
1.76,Lyft,1.54496E+12,South Station,North Station,9,1,104ced5c-1c1b-4021-94bb-b21af453399a,lyft,Lyft
1.76,Lyft,1.54492E+12,South Station,North Station,16.5,1,1cf8a0a5-d871-41ba-91c7-53658851501e,lyft_premier,Lux
1.76,Lyft,1.54488E+12,South Station,North Station,26,1,5e990c7a-8f5c-4583-812c-b6200dd018f6,lyft_luxsuv,Lux Black XL
1.76,Lyft,1.54331E+12,South Station,North Station,13.5,1,bd1d5b1a-ed7f-4fc8-8fd1-9236a5de403e,lyft_plus,Lyft XL
1.76,Lyft,1.54342E+12,South Station,North Station,19.5,1,c7a2284b-2f7b-49a8-8d5b-90e1ebe18a1f,lyft_lux,Lux Black
0.71,Lyft,1.54367E+12,West End,Haymarket Square,7,1,2e0059db-945e-4615-9f87-46b8966d62f2,lyft,Lyft
0.71,Lyft,1.54324E+12,West End,Haymarket Square,9,1,77667337-1484-497d-a0d2-2844126c2517,lyft_plus,Lyft XL
0.71,Lyft,1.54372E+12,West End,Haymarket Square,10.5,1,c03b25ba-1d74-4522-8f3b-feb4bebcb4c7,lyft_premier,Lux
0.71,Lyft,1.54351E+12,West End,Haymarket Square,3,1,fa00bcf3-78f7-4b62-b133-c3190a85edab,lyft_line,Shared
1.23,Lyft,1.54382E+12,Theatre District,Haymarket Square,5,1,33d90ba7-60f5-4da1-afc3-39d4d038f7ec,lyft_line,Shared
1.23,Lyft,1.54324E+12,Theatre District,Haymarket Square,13.5,1,6c936f6d-c587-49ae-bb39-5aeb54eff756,lyft_premier,Lux
1.23,Lyft,1.54381E+12,Theatre District,Haymarket Square,11,1,8b905a5a-c626-42a6-b23b-eae7c7b689a3,lyft_plus,Lyft XL
1.23,Lyft,1.54345E+12,Theatre District,Haymarket Square,26,1,c8c093f0-960b-4668-b1f6-1e42dcf6bd6b,lyft_luxsuv,Lux Black XL
1.23,Lyft,1.54328E+12,Theatre District,Haymarket Square,16.5,1,ee029d73-c9ad-463d-a15e-ba20fac8c292,lyft_lux,Lux Black
1.23,Lyft,1.54385E+12,Theatre District,Haymarket Square,7,1,f76a05b7-60a7-4df5-94b9-de16881691ca,lyft,Lyft
1.16,Uber,1.54473E+12,West End,North End,NA,1,43abdbe4-ab9e-4f39-afdc-31cfa375dc25,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi
1.16,Uber,1.54469E+12,West End,North End,9.5,1,5e1deff9-8f75-4e77-a1b1-7f6749e4eed3,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV
1.16,Uber,1.54345E+12,West End,North End,16.5,1,a6d2d9af-e412-4ec0-8206-88e272b5a14e,6c84fd89-3f11-4782-9b50-97c468b19529,Black
1.16,Uber,1.54486E+12,West End,North End,7,1,c53e48e4-a7b6-43e9-b4f4-afadc78dc2aa,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool
1.16,Uber,1.54333E+12,West End,North End,9.5,1,c9dee6ef-eca0-43ba-9bf9-ec00a6638164,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX
1.16,Uber,1.54343E+12,West End,North End,27.5,1,e209499c-d217-4ea8-b72a-8a879646b29a,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV
1.16,Uber,1.54347E+12,West End,North End,13,1,fc3205bd-3419-40db-b00f-ddced9beff33,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL
2.67,Uber,1.54513E+12,Beacon Hill,North End,9.5,1,26cd4b22-179f-48db-a03f-2cc8c87d624e,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV
2.67,Uber,1.54329E+12,Beacon Hill,North End,9.5,1,5ed9f6ab-4582-45c6-a1de-5602e911c3bb,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX
2.67,Uber,1.54358E+12,Beacon Hill,North End,NA,1,80db1c49-9d51-4575-a4f4-1ec23b4d3e31,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi
1.16,Lyft,1.54383E+12,Beacon Hill,Haymarket Square,7,1,09740fbe-a03b-48df-a25a-6a01d4fc30e7,lyft,Lyft
1.16,Lyft,1.54382E+12,Beacon Hill,Haymarket Square,13.5,1,2ff1a200-7c68-4813-9141-af7eeb93b37d,lyft_plus,Lyft XL
1.16,Lyft,1.5436E+12,Beacon Hill,Haymarket Square,26,1,395294c8-4b2b-4cde-aaf9-3ac478cfddc3,lyft_luxsuv,Lux Black XL
1.16,Lyft,1.54379E+12,Beacon Hill,Haymarket Square,13.5,1,59481bfd-d72d-4d6d-af73-8006fc872948,lyft_premier,Lux
1.16,Lyft,1.54504E+12,Beacon Hill,Haymarket Square,5,1,aa1f01a1-f54a-4978-b266-a14f877baad1,lyft_line,Shared
1.16,Lyft,1.54341E+12,Beacon Hill,Haymarket Square,16.5,1,b4d6e3a6-8fce-4863-9674-e3abb49c53db,lyft_lux,Lux Black
3.39,Uber,1.54378E+12,North Station,Boston University,9.5,1,0617e9b6-45f9-4f45-aa2b-5d06da008088,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV
3.39,Uber,1.54488E+12,North Station,Boston University,9.5,1,37b99b0e-d2a9-4aa6-b145-54de1c8793eb,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX
3.39,Uber,1.54348E+12,North Station,Boston University,17,1,433900c1-12d0-4771-85ea-1e1f1a4a6d63,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL
3.39,Uber,1.54336E+12,North Station,Boston University,10,1,76ec209b-45a1-47e7-9eda-bc3a22402b8e,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool
3.39,Uber,1.545E+12,North Station,Boston University,34,1,a841f68a-a00f-456a-a3f2-2a4f2f2917d6,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV
3.39,Uber,1.5447E+12,North Station,Boston University,26,1,aaf17c52-066b-4449-abac-274132b8ffbf,6c84fd89-3f11-4782-9b50-97c468b19529,Black
3.39,Uber,1.54378E+12,North Station,Boston University,NA,1,c0bffbdc-9f15-4822-bda5-77d293a8d77e,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi
3.39,Uber,1.54508E+12,North Station,Boston University,18.5,1,2effa2c2-6728-4274-b904-199a9fc830c4,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL
3.39,Uber,1.54354E+12,North Station,Boston University,11,1,5ef55ad4-49da-4698-8d41-21f89d107085,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool
3.39,Uber,1.54359E+12,North Station,Boston University,11,1,67f791f9-5bf4-4490-9358-95ffda17e5ea,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX
3.39,Uber,1.54468E+12,North Station,Boston University,NA,1,6af89d7d-7c7e-45fe-98c4-3dc432bb29b4,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi
3.39,Uber,1.54483E+12,North Station,Boston University,11,1,806fc0cf-814d-48aa-abe7-47d0eedf47d4,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV
3.39,Uber,1.54353E+12,North Station,Boston University,36,1,bcb04ae7-e199-495f-a22e-4f24dcf9088c,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV
3.39,Uber,1.54504E+12,North Station,Boston University,27.5,1,ef16279b-5893-4ea1-bf62-0548a6a541e7,6c84fd89-3f11-4782-9b50-97c468b19529,Black
2.82,Lyft,1.54354E+12,West End,Fenway,22.5,1,60f7fd10-aa55-42a8-9b19-2f8bb457459b,lyft_lux,Lux Black
2.82,Lyft,1.54513E+12,West End,Fenway,16.5,1,7827cd75-7987-4f1b-a012-ab92c820c6c4,lyft_plus,Lyft XL
2.82,Lyft,1.5434E+12,West End,Fenway,10.5,1,ea5d697f-425a-421c-a680-20bc8b36384e,lyft,Lyft
2.82,Lyft,1.54328E+12,West End,Fenway,32.5,1,fbe5b6f4-7771-4fed-93d9-350febdc20c2,lyft_luxsuv,Lux Black XL
2.82,Lyft,1.54498E+12,West End,Fenway,19.5,1,fbe75666-8d95-404f-a2d2-56c1f94eb99a,lyft_premier,Lux
2.82,Lyft,1.54469E+12,West End,Fenway,7,1,ff49381b-9947-4a40-b100-ca58020e0dbe,lyft_line,Shared
2.49,Uber,1.54481E+12,Back Bay,South Station,25,1,118a8165-c787-4761-89e5-a17aa5710c75,6c84fd89-3f11-4782-9b50-97c468b19529,Black
2.49,Uber,1.54495E+12,Back Bay,South Station,12,1,14fd1233-8cea-4061-a66a-9a5ecec07f66,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX
2.49,Uber,1.5451E+12,Back Bay,South Station,12,1,2a98223c-db41-4d28-9f8a-f26775b12fd4,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV
2.49,Uber,1.54344E+12,Back Bay,South Station,18.5,1,3a2929f1-2310-4c96-8eeb-ca2ed3ad9915,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL
2.49,Uber,1.54344E+12,Back Bay,South Station,NA,1,42dd31b8-d488-4de6-8dd1-544d6f943149,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi
2.49,Uber,1.54332E+12,Back Bay,South Station,32.5,1,c1463da2-43e9-4e83-a52f-eb4fbe9d85e6,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV
2.49,Uber,1.54386E+12,Back Bay,South Station,11,1,e5face72-4e1e-499e-89db-6a136e11f7f5,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool
3.07,Uber,1.54366E+12,North Station,Fenway,27,1,08a28a48-eec5-43f8-b81d-bc2f57fc7f9a,6c84fd89-3f11-4782-9b50-97c468b19529,Black
3.07,Uber,1.54346E+12,North Station,Fenway,12,1,1f384d44-39fa-4537-b6a9-e97c0420fc48,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX
3.07,Uber,1.54382E+12,North Station,Fenway,18.5,1,408076ed-a826-4fb3-a602-f9940df0ae50,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL
3.07,Uber,1.54334E+12,North Station,Fenway,NA,1,4b22b1b6-5d22-476c-bcf9-571afb6b5a4b,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi
3.07,Uber,1.54388E+12,North Station,Fenway,12,1,6fad93ae-e127-4e63-92e8-aca70075a4ae,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV
3.07,Uber,1.54513E+12,North Station,Fenway,8.5,1,c8e81408-c663-41b0-97d8-01de32dddefd,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool
3.07,Uber,1.54484E+12,North Station,Fenway,35,1,f5f46cb2-dc51-4ed7-bd0e-14469d2da879,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV
1.57,Uber,1.54324E+12,North End,Theatre District,8,1,8cfbdbf9-4aa0-453b-ae4e-2fd9b4a90ffa,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV
1.57,Uber,1.54471E+12,North End,Theatre District,NA,1,974fd7df-31d1-4f61-9aad-5c3b853a4368,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi
1.57,Uber,1.54441E+12,North End,Theatre District,13,1,a385d39d-6add-45e7-8144-d208173f5528,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL
1.57,Uber,1.54373E+12,North End,Theatre District,8,1,a9448a0b-977b-47c4-b886-b9ff39e6983c,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool
1.57,Uber,1.54387E+12,North End,Theatre District,27,1,ae1e0b34-e9aa-4d7f-9b5f-228d966cb911,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV
1.57,Uber,1.54381E+12,North End,Theatre District,17,1,ca00c0ed-bc14-4558-af18-5be6001f14e2,6c84fd89-3f11-4782-9b50-97c468b19529,Black
1.57,Uber,1.54468E+12,North End,Theatre District,8,1,ff9d06a6-3ac8-4692-b154-1fd97fb0ac93,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX
3.2,Uber,1.54378E+12,Northeastern University,West End,13.5,1,00dc269c-2990-402b-b834-9fe0cede0bae,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool
3.2,Uber,1.54473E+12,Northeastern University,West End,23.5,1,17fc2426-4a0c-4305-bc55-a2d4e08417da,6c84fd89-3f11-4782-9b50-97c468b19529,Black
3.2,Uber,1.54366E+12,Northeastern University,West End,14,1,68589ddd-984f-4cda-adce-b69ed39695d8,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV
3.2,Uber,1.54351E+12,Northeastern University,West End,34,1,95f75de8-f788-4d4e-991d-771c73720a4c,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV
3.2,Uber,1.54344E+12,Northeastern University,West End,26.5,1,b54ea4d2-96e6-4ac3-ae04-6f55d2199dec,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL
3.2,Uber,1.54503E+12,Northeastern University,West End,14,1,b85bee69-de7b-443f-aff5-c98a1e48ebed,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX
3.2,Uber,1.54328E+12,Northeastern University,West End,NA,1,e36f3312-05fc-4ba0-8a33-84ddc108643b,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi
3.61,Uber,1.54498E+12,Back Bay,North End,26.5,1,174e8ad4-163e-4a6a-94e9-502df39fbc20,6c84fd89-3f11-4782-9b50-97c468b19529,Black
3.61,Uber,1.5438E+12,Back Bay,North End,12,1,2c692c6d-0b72-4987-bac5-7be5f0833267,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX
3.61,Uber,1.54341E+12,Back Bay,North End,11,1,2de5725b-55ea-4d90-9a1d-5bc113bb047b,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool
3.61,Uber,1.54341E+12,Back Bay,North End,19.5,1,5de2313d-3772-4f3e-95be-6b518d21ccf1,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL
3.61,Uber,1.54366E+12,Back Bay,North End,12,1,8f56fb33-f2e3-4571-94a4-2e429eb077b6,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV
3.61,Uber,1.54332E+12,Back Bay,North End,38.5,1,9246e691-25f1-4642-a51e-8021b01760c5,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV
3.61,Uber,1.54342E+12,Back Bay,North End,NA,1,e34c8f86-cf63-4904-a87b-476d5041eda9,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi
3.05,Uber,1.54385E+12,Fenway,North Station,23,1,04727769-94b3-4c50-8cc2-71afd369d249,6c84fd89-3f11-4782-9b50-97c468b19529,Black
3.05,Uber,1.54337E+12,Fenway,North Station,30.5,1,0e3e2a8c-f22d-4958-bbf1-af5064d0bfcc,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV
3.05,Uber,1.54342E+12,Fenway,North Station,10.5,1,2b443af3-246f-4b12-956c-8025dced5b3d,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX
3.05,Uber,1.54367E+12,Fenway,North Station,10.5,1,669bcc82-6f6b-4d0e-a0b7-8756c7e4da68,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV
3.05,Uber,1.54369E+12,Fenway,North Station,NA,1,a40156d9-4564-4c86-9f2a-3490101fb123,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi
3.05,Uber,1.54516E+12,Fenway,North Station,17.5,1,ad7238f1-0a0f-4c13-b671-d498b390d3b6,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL
3.05,Uber,1.54323E+12,Fenway,North Station,10,1,cb398c74-4965-4dd8-af0f-381fd5e74daa,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool
1.75,Lyft,1.54344E+12,Haymarket Square,Theatre District,22.5,1,175688b5-eef3-411f-8240-9a1c350571fb,lyft_lux,Lux Black
1.75,Lyft,1.5438E+12,Haymarket Square,Theatre District,7,1,4e562e2e-a33b-4b23-8520-04993ae604c4,lyft_line,Shared
1.75,Lyft,1.54349E+12,Haymarket Square,Theatre District,13.5,1,70cdb7c1-c32f-472d-a3e4-08fb85fadce7,lyft_plus,Lyft XL
1.75,Lyft,1.54378E+12,Haymarket Square,Theatre District,16.5,1,7c77ccb6-4675-4924-a223-be3481568077,lyft_premier,Lux
1.75,Lyft,1.54478E+12,Haymarket Square,Theatre District,27.5,1,c5befa48-631f-4d99-b936-72b01743fe22,lyft_luxsuv,Lux Black XL
1.75,Lyft,1.54508E+12,Haymarket Square,Theatre District,9,1,e31be055-d8b8-4cfe-9387-7939258f2f72,lyft,Lyft
2.36,Lyft,1.5449E+12,Fenway,Beacon Hill,9,1,0b521d97-1529-4012-8e46-cb6fffd2751d,lyft,Lyft
2.36,Lyft,1.54344E+12,Fenway,Beacon Hill,30,1,12fa8f8a-9c69-43e0-b604-4206fd4df703,lyft_luxsuv,Lux Black XL
2.36,Lyft,1.54343E+12,Fenway,Beacon Hill,16.5,1,1aa04d78-8630-4f30-be6a-0bec07eeabd6,lyft_premier,Lux
2.36,Lyft,1.54324E+12,Fenway,Beacon Hill,13.5,1,6bbc0189-5faa-4e8e-9dd8-fb36d9848cab,lyft_plus,Lyft XL
2.36,Lyft,1.54478E+12,Fenway,Beacon Hill,22.5,1,7eca01e2-0c21-4336-9218-741b274d26a7,lyft_lux,Lux Black
2.36,Lyft,1.54325E+12,Fenway,Beacon Hill,7,1,a9847c3d-2766-4908-80e1-c96667268463,lyft_line,Shared
2.32,Uber,1.54511E+12,North End,Back Bay,14,1,0cd01858-da20-49ce-b079-d0a27f225c9b,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL
2.32,Uber,1.54364E+12,North End,Back Bay,20.5,1,10436f60-110d-4ffc-b261-e3ed262aec75,6c84fd89-3f11-4782-9b50-97c468b19529,Black
2.32,Uber,1.54513E+12,North End,Back Bay,9.5,1,1609c275-bacc-4d6a-be79-1ce48dff3c01,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV
2.32,Uber,1.54507E+12,North End,Back Bay,9.5,1,88c309eb-4f98-4410-bf60-2d2f1113abe2,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX
2.32,Uber,1.54488E+12,North End,Back Bay,8.5,1,dcb17cf8-5aa4-4ee0-ad3d-8eebd78cfea3,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool
2.32,Uber,1.54505E+12,North End,Back Bay,NA,1,f11cb3b2-6675-4833-bd59-ee1c61715881,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi
1.02,Lyft,1.54332E+12,North End,North Station,13.5,1,0dabfd02-5bf7-4cf0-94be-a10d1b3bba9a,lyft_premier,Lux
1.02,Lyft,1.54328E+12,North End,North Station,26,1,8f06de18-0c51-4021-a601-963d4d04ac5c,lyft_luxsuv,Lux Black XL
1.02,Lyft,1.54468E+12,North End,North Station,16.5,1,d0af528b-c6f7-4d83-a0b7-cd02eb17f880,lyft_lux,Lux Black
1.02,Lyft,1.54497E+12,North End,North Station,11,1,d2bac749-6eef-4325-9f28-de2db6c8449c,lyft_plus,Lyft XL
1.17,Lyft,1.5447E+12,Haymarket Square,Financial District,16.5,1,2012f0d4-7227-4bd1-9cb9-8555a0ec7b7f,lyft_lux,Lux Black
1.17,Lyft,1.54485E+12,Haymarket Square,Financial District,13.5,1,784dc2b4-b454-4f58-8865-043a1f2f9e4c,lyft_premier,Lux
1.17,Lyft,1.54344E+12,Haymarket Square,Financial District,5,1,83b8d4f4-516a-48ee-9c1c-6d358ba9e4b7,lyft_line,Shared
1.17,Lyft,1.54497E+12,Haymarket Square,Financial District,27.5,1,9e502957-dbc0-4296-af7e-fd01a295fffb,lyft_luxsuv,Lux Black XL
1.17,Lyft,1.54358E+12,Haymarket Square,Financial District,7,1,c4e49271-0f00-4743-a2c5-95ec39b83fde,lyft,Lyft
1.17,Lyft,1.54329E+12,Haymarket Square,Financial District,10.5,1,f91aa276-39be-4562-a9bb-d47a4caf9b27,lyft_plus,Lyft XL
4.43,Uber,1.54343E+12,Financial District,Fenway,11,1,56f817da-4fd0-4b6c-8e28-bde9789c1e45,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool
4.43,Uber,1.54333E+12,Financial District,Fenway,NA,1,5f67844a-1cf5-48c7-afb8-dcf16cbc8310,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi
